idplanmed,idestcub,idfustemed,plantio,numarv,datamedicao,dap,ht,seq,hi,dicc1,dicc2,espcasca
1,1,34,1,992,2004-12-10,"18,8","25,5",13,20,"6,6","6,6","0,3"
1,1,34,1,992,2004-12-10,"18,8","25,5",14,22,"4,7","4,7","0,2"
1,1,34,1,992,2004-12-10,"18,8","25,5",15,24,"2,4","2,4","0,2"
1,1,35,1,994,2004-12-10,"22,4",27,1,"0,1","25,8","25,8","1,3"
1,1,35,1,994,2004-12-10,"22,4",27,2,"0,7","23,1","23,1","0,7"
1,1,35,1,994,2004-12-10,"22,4",27,3,"1,3","22,4","22,4","0,6"
1,1,35,1,994,2004-12-10,"22,4",27,4,2,21,21,"0,5"
1,1,35,1,994,2004-12-10,"22,4",27,5,4,"19,6","19,6","0,5"
1,1,35,1,994,2004-12-10,"22,4",27,6,6,"18,1","18,1","0,4"
1,1,35,1,994,2004-12-10,"22,4",27,7,8,"16,8","16,8","0,4"
1,1,35,1,994,2004-12-10,"22,4",27,8,10,"15,6","15,6","0,4"
1,1,35,1,994,2004-12-10,"22,4",27,9,12,"14,3","14,3","0,4"
1,1,35,1,994,2004-12-10,"22,4",27,10,14,13,13,"0,4"
1,1,35,1,994,2004-12-10,"22,4",27,11,16,"11,8","11,8","0,4"
1,1,35,1,994,2004-12-10,"22,4",27,12,18,"10,6","10,6","0,4"
1,1,35,1,994,2004-12-10,"22,4",27,13,20,"8,8","8,8","0,4"
1,1,35,1,994,2004-12-10,"22,4",27,14,22,"6,8","6,8","0,3"
1,1,35,1,994,2004-12-10,"22,4",27,15,24,"4,6","4,6","0,3"
1,1,36,1,1009,2004-07-20,5,11,1,"0,1","6,3","6,3","0,4"
1,1,36,1,1009,2004-07-20,5,11,2,"0,7","5,6","5,6","0,2"
1,1,36,1,1009,2004-07-20,5,11,3,"1,3",5,5,"0,2"
1,1,36,1,1009,2004-07-20,5,11,4,2,"4,9","4,9","0,1"
1,1,36,1,1009,2004-07-20,5,11,5,4,4,4,"0,1"
1,1,36,1,1009,2004-07-20,5,11,6,6,"3,6","3,6","0,1"
1,1,36,1,1009,2004-07-20,5,11,7,8,"2,8","2,8","0,1"
1,1,37,1,1010,2004-07-20,"7,1","13,2",1,"0,1","9,2","9,2","0,4"
1,1,37,1,1010,2004-07-20,"7,1","13,2",2,"0,7","7,8","7,8","0,3"
1,1,37,1,1010,2004-07-20,"7,1","13,2",3,"1,3","7,1","7,1","0,3"
1,1,37,1,1010,2004-07-20,"7,1","13,2",4,2,"6,8","6,8","0,2"
1,1,37,1,1010,2004-07-20,"7,1","13,2",5,4,"5,6","5,6","0,2"
1,1,37,1,1010,2004-07-20,"7,1","13,2",6,6,"4,7","4,7","0,2"
1,1,37,1,1010,2004-07-20,"7,1","13,2",7,8,"4,2","4,2","0,2"
